stem,oracle,n_gt,error_T0,utility_T0,fp_T0,fn_T0,tp_T0,error_T4,utility_T4,fp_T4,fn_T4,tp_T4,t4_harms,t4_helps
Marseille_Cam1_16_23_22_10_11_2020.mp4_00646.jpg_Cam1_16_23_22_10_11_2020.mp4_00646,T0,1,0.14168497456377102,0.858315025436229,0,0,1,0.5701492496015839,0.37985075039841615,1,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00649.jpg_Cam1_16_23_22_10_11_2020.mp4_00649,T0,1,0.04327104886372967,0.9567289511362703,0,0,1,0.06218234514553025,0.8878176548544697,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00650.jpg_Cam1_16_23_22_10_11_2020.mp4_00650,T0,1,0.04634206251064445,0.9536579374893556,0,0,1,0.046395740568902076,0.9036042594310979,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00656.jpg_Cam1_16_23_22_10_11_2020.mp4_00656,T0,1,0.13804191601515636,0.8619580839848436,0,0,1,0.1057559673486955,0.8442440326513044,0,0,1,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00658.jpg_Cam1_16_23_22_10_11_2020.mp4_00658,T0,2,0.5122539752952572,0.4877460247047428,0,1,1,0.5191161955209331,0.4308838044790669,0,1,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00659.jpg_Cam1_16_23_22_10_11_2020.mp4_00659,T0,1,0.10784186605425244,0.8921581339457476,0,0,1,0.1118579047579292,0.8381420952420707,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00662.jpg_Cam1_16_23_22_10_11_2020.mp4_00662,T0,1,0.09760996021413172,0.9023900397858683,0,0,1,0.12133693510139605,0.8286630648986039,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00664.jpg_Cam1_16_23_22_10_11_2020.mp4_00664,T0,1,0.09553236837617816,0.9044676316238218,0,0,1,0.09683858782417354,0.8531614121758264,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00666.jpg_Cam1_16_23_22_10_11_2020.mp4_00666,T0,1,0.06554489024405258,0.9344551097559475,0,0,1,0.09067167581980187,0.8593283241801981,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00668.jpg_Cam1_16_23_22_10_11_2020.mp4_00668,T0,1,0.0884961736367351,0.9115038263632649,0,0,1,0.07517039011729212,0.8748296098827079,0,0,1,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00671.jpg_Cam1_16_23_22_10_11_2020.mp4_00671,T0,1,0.014605153255218328,0.9853948467447817,0,0,1,0.037424530352984556,0.9125754696470154,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00673.jpg_Cam1_16_23_22_10_11_2020.mp4_00673,T0,1,0.19389291549047652,0.8061070845095235,0,0,1,0.19892292841933062,0.7510770715806694,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00682.jpg_Cam1_16_23_22_10_11_2020.mp4_00682,T0,1,0.31156860319742147,0.6884313968025786,0,0,1,0.28639253159297773,0.6636074684070222,0,0,1,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00683.jpg_Cam1_16_23_22_10_11_2020.mp4_00683,T0,1,0.08805700242733709,0.911942997572663,0,0,1,0.10325082370608227,0.8467491762939177,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00684.jpg_Cam1_16_23_22_10_11_2020.mp4_00684,T0,1,0.10567108397063277,0.8943289160293673,0,0,1,0.11867384375656853,0.8313261562434314,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00691.jpg_Cam1_16_23_22_10_11_2020.mp4_00691,T0,1,0.11925089167241504,0.8807491083275849,0,0,1,0.12463366617028915,0.8253663338297108,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00701.jpg_Cam1_16_23_22_10_11_2020.mp4_00701,T0,1,0.184969175796131,0.815030824203869,0,0,1,0.19803554469391965,0.7519644553060802,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00703.jpg_Cam1_16_23_22_10_11_2020.mp4_00703,T0,1,0.10882069683628488,0.8911793031637151,0,0,1,0.09490621063910303,0.855093789360897,0,0,1,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00705.jpg_Cam1_16_23_22_10_11_2020.mp4_00705,T0,1,0.10237047835087029,0.8976295216491297,0,0,1,0.10554713531293008,0.8444528646870699,0,0,1,1,0
